#Title : in-situ files catalog
#Description : catalog of available in-situ files compliant with Marine Data Store
#Project : Copernicus Marine In Situ TAC
#Format Version : 3.0
#Last Update : 2026-05-05T01:39:04Z
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_3YAI.nc,35.58000,74.73000,-34.53000,26.17000,1958-03-13T22:00:00Z,1973-09-05T21:00:00Z,Norway (Unknown),2025-04-15T16:48:45Z,R, DEPH TEMP PSAL DOX1 PHOS SLCA
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_4XIY.nc,33.00017,34.00134,25.00033,34.50200,2008-04-08T10:48:00Z,2008-09-12T08:15:59Z,Israel Oceanographic and Limnological Research,2025-04-15T17:39:27Z,R, DEPH TEMP PSAL DOX2 CPHL NTRZ PHOS SLCA
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_58G3.nc,10.77200,50.50000,2.00000,35.00000,1965-05-01T00:36:00Z,1990-06-29T14:43:12Z,Institute of Marine Research,2025-04-15T17:39:09Z,R, DEPH PRES TEMP PSAL DOX1 FLU2 NTRA PHOS SLCA
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_5BRD.nc,2.58000,37.81000,18.42270,56.63300,1896-06-24T00:00:00Z,1897-05-17T00:00:00Z,Unknown institution,2025-09-17T20:03:43Z,R, DEPH TEMP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_74DN.nc,-39.63000,78.05000,0.06667,38.75000,1952-10-28T05:58:12Z,1959-04-01T14:22:12Z,Unknown institution,2025-04-15T18:21:23Z,R, DEPH PRES TEMP PSAL DOX1 ALK3 NTRA PHOS PHPH SLCA
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_7TEV.nc,35.09800,37.06300,-2.19330,8.61000,1988-07-27T12:30:00Z,1999-11-06T10:25:12Z,Unknown institution,2025-04-15T17:08:57Z,R, PRES TEMP PSAL DOX1 FLU2 NTRA PHOS PHPH SLCA
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_9HAL4.nc,3.96870,36.25300,-36.63130,20.65400,1901-04-05T00:00:00Z,1903-12-10T00:00:00Z,Unknown institution,2025-04-15T18:10:34Z,R, DEPH TEMP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_CGDG.nc,-63.56800,79.00100,10.16170,18.53300,1964-03-25T14:42:00Z,2016-05-15T00:00:00Z,Canadian Coast Guard,2026-04-10T21:29:59Z,R, DEPH PRES TEMP PSAL DOX1 DOX2 ALK3 ALKW AMON AMOW CF3W CFC11 CFC113 CFC12 CPHL FLU2 NTAW NTIW NTRA O18D PH25 PHOS PHOW PHPH SLCA SLCW TCO2 TICW
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_CNA3524.nc,35.86000,35.98500,-5.97800,-5.36200,2005-05-03T00:00:00Z,2007-05-08T00:00:00Z,National Institute of Fisheries Research,2026-03-22T19:42:18Z,R, DEPH PRES TEMP PSAL DOX2 ALKW NTAW PH25 PHPH SLCW TICW
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_CNOJ.nc,32.83000,35.93000,-9.22980,-2.29980,1985-08-08T07:00:00Z,1986-04-18T07:34:48Z,Unknown institution,2025-04-15T17:54:39Z,R, PRES TEMP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_DBBH.nc,-67.26620,81.13000,-7.98300,-0.00050,1964-09-13T19:00:00Z,2018-03-12T00:00:00Z,German Oceanographic Datacentre;PANGAEA - Data Publisher for Earth & Environmental Science;IEO-CSIC - Spanish Oceanographic Institute;British Oceanographic Data Centre;The German Marine Research Alliance;Helmholtz Centre for Ocean Research Kiel,2026-04-29T20:32:34Z,R, DEPH PRES TEMP PSAL DOXY DOX1 DOX2 ALK3 ALKW ALKY AMON C13D C14D CF3W CFC11 CFC113 CFC12 CPHL FLU2 HELD HELM HELW NEON NEOW NTAW NTIW NTRA NTRI NTRZ NTZW PCO2 PH25 PHOS PHOW PHPH SLCA SLCW TCO2 TICW TRIW
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_DBKV.nc,-60.20000,77.53000,-2.39200,-0.01917,1902-08-03T11:00:00Z,2006-02-20T09:17:00Z,PANGAEA - Data Publisher for Earth & Environmental Science;IEO-CSIC - Spanish Oceanographic Institute;Marine Institute;British Oceanographic Data Centre;Helmholtz Centre for Ocean Research Kiel,2025-10-29T03:19:07Z,R, DEPH PRES TEMP PSAL DOXY DOX1 ALKY AMON CPHL FLU2 HELW HSUL NEOW NTOT NTRA NTRI NTRZ NTZW PHOS PHOW PHPH SLCA SLCW TRIW
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_DESI.nc,38.67033,80.33670,-51.69500,31.25000,1983-03-23T18:00:00Z,1998-08-27T08:59:00Z,German Oceanographic Datacentre,2025-04-15T18:02:07Z,R, DEPH PRES TEMP PSAL DOX1 AMON CFC11 CFC12 CPHL FLU2 NTOT NTRA NTRI PHOS PHPH SLCA
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_DRAY.nc,35.30100,37.00000,16.00067,18.36683,1968-05-14T10:40:00Z,1968-06-05T08:36:00Z,Unknown institution,2025-04-15T18:52:03Z,R, DEPH TEMP PSAL
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_DRMX.nc,39.82900,68.70500,-21.04670,19.75050,1988-11-02T15:38:00Z,1995-05-24T08:22:00Z,Met Office - Exeter,2025-04-15T16:42:30Z,R, DEPH PRES TEMP PSAL DOX1 AMON NTRA NTRI PHOS SLCA
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_DSCZ.nc,6.95000,64.99830,-23.00000,128.03000,1901-03-09T00:00:00Z,1992-03-25T08:36:00Z,Unknown institution,2025-04-15T17:07:30Z,R, DEPH TEMP PSAL DOX1 FLU2 PHOS
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_EA7637.nc,35.90233,39.94130,-5.53170,4.02170,1985-06-22T09:30:00Z,1998-06-20T13:55:00Z,IEO-CSIC - Spanish Oceanographic Institute,2025-04-15T18:14:39Z,R, DEPH PRES TEMP PSAL DOXY DOX1 CPHL NTRA NTRI NTRZ PHOS PHPH SLCA
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_EBBW.nc,-64.91000,40.00200,-80.06550,17.50300,1992-07-20T00:00:00Z,2019-05-17T10:35:00Z,IEO-CSIC - Spanish Oceanographic Institute;British Oceanographic Data Centre,2026-04-10T21:29:10Z,R, DEPH PRES TEMP PSAL DOXY DOX1 DOX2 ALK3 ALKW AMON C14D CFC11 CFC12 CPHL FLU2 HELD HELW NEOW NTAW NTIW NTRA NTRI NTRZ PH25 PHOS PHOW PHPH SLCA SLCW TCO2 TICW
